user_id,item_id,rating,reward
0.0,92.0,1.0,0.0
0.0,34.0,1.0,0.0
0.0,637.0,1.0,0.0
0.0,13.0,5.0,1.0
0.0,303.0,5.0,1.0
0.0,622.0,1.0,0.0
0.0,237.0,4.0,1.0
0.0,82.0,1.0,0.0
0.0,951.0,1.0,0.0
0.0,45.0,1.0,0.0
1.0,686.0,4.0,1.0
1.0,254.0,5.0,1.0
1.0,963.0,5.0,1.0
1.0,92.0,5.0,1.0
1.0,126.0,5.0,1.0
2.0,126.0,2.0,0.0
2.0,583.0,4.0,1.0
2.0,85.0,3.0,0.0
2.0,291.0,4.0,1.0
2.0,319.0,3.0,0.0
3.0,815.0,1.0,0.0
3.0,127.0,1.0,0.0
4.0,500.0,1.0,0.0
4.0,526.0,1.0,0.0
4.0,678.0,1.0,0.0
5.0,242.0,5.0,1.0
5.0,945.0,4.0,1.0
6.0,520.0,1.0,0.0
6.0,541.0,1.0,0.0
6.0,251.0,1.0,0.0
6.0,304.0,1.0,0.0
6.0,738.0,1.0,0.0
6.0,715.0,1.0,0.0
6.0,3.0,1.0,0.0
6.0,521.0,1.0,0.0
6.0,399.0,1.0,0.0
6.0,653.0,1.0,0.0
6.0,477.0,1.0,0.0
6.0,635.0,1.0,0.0
6.0,500.0,1.0,0.0
6.0,454.0,1.0,0.0
6.0,562.0,1.0,0.0
6.0,432.0,1.0,0.0
6.0,6.0,1.0,0.0
6.0,759.0,1.0,0.0
6.0,727.0,1.0,0.0
6.0,354.0,1.0,0.0
6.0,785.0,5.0,1.0
6.0,380.0,1.0,0.0
6.0,309.0,1.0,0.0
6.0,524.0,1.0,0.0
6.0,303.0,4.0,1.0
6.0,874.0,1.0,0.0
6.0,310.0,1.0,0.0
6.0,286.0,1.0,0.0
6.0,701.0,1.0,0.0
6.0,538.0,1.0,0.0
6.0,284.0,1.0,0.0
6.0,497.0,4.0,1.0
6.0,672.0,1.0,0.0
6.0,314.0,1.0,0.0
6.0,899.0,1.0,0.0
6.0,925.0,1.0,0.0
6.0,693.0,1.0,0.0
6.0,287.0,1.0,0.0
6.0,816.0,1.0,0.0
6.0,482.0,1.0,0.0
