user_id,item_id,rating,reward
0,137,1,0.0
0,140,1,0.0
0,176,1,0.0
0,267,3,0.0
0,510,1,0.0
0,586,1,0.0
0,771,5,1.0
0,940,1,0.0
1,115,4,1.0
1,203,3,0.0
1,205,4,1.0
1,265,4,1.0
1,461,4,1.0
1,679,2,0.0
1,692,3,0.0
1,754,2,0.0
1,808,3,0.0
1,853,5,1.0
2,99,3,0.0
2,161,3,0.0
2,168,3,0.0
2,173,3,0.0
2,206,2,0.0
2,212,3,0.0
2,592,3,0.0
2,728,2,0.0
2,897,3,0.0
3,99,1,0.0
3,266,1,0.0
3,387,1,0.0
3,404,1,0.0
3,409,1,0.0
3,576,1,0.0
3,588,1,0.0
3,880,1,0.0
3,894,1,0.0
3,929,1,0.0
4,135,1,0.0
4,448,1,0.0
4,499,1,0.0
4,602,1,0.0
4,606,1,0.0
4,610,1,0.0
4,691,1,0.0
4,728,1,0.0
4,848,1,0.0
4,898,1,0.0
5,14,2,0.0
5,163,1,0.0
5,295,1,0.0
5,443,2,0.0
5,449,1,0.0
5,452,1,0.0
5,678,1,0.0
5,816,1,0.0
5,819,3,0.0
5,864,2,0.0
6,78,1,0.0
6,219,1,0.0
6,229,1,0.0
6,292,1,0.0
6,469,1,0.0
6,611,1,0.0
6,807,1,0.0
6,872,1,0.0
6,919,1,0.0
6,921,1,0.0
7,67,1,0.0
7,160,2,0.0
7,355,1,0.0
7,547,1,0.0
7,779,2,0.0
7,782,2,0.0
7,787,1,0.0
7,819,1,0.0
7,872,1,0.0
7,996,1,0.0
8,108,2,0.0
8,120,3,0.0
8,259,1,0.0
8,263,2,0.0
8,384,2,0.0
8,533,2,0.0
8,573,3,0.0
8,626,1,0.0
8,998,1,0.0
9,41,3,0.0
9,290,4,1.0
9,382,1,0.0
9,462,1,0.0
9,466,2,0.0
9,500,2,0.0
9,656,4,1.0
9,894,4,1.0
9,905,4,1.0
10,8,3,0.0
10,14,3,0.0
10,152,4,1.0
10,198,2,0.0
10,555,2,0.0
10,813,1,0.0
10,845,1,0.0
10,986,1,0.0
11,5,3,0.0
11,18,4,1.0
11,22,2,0.0
11,163,1,0.0
11,284,2,0.0
11,456,2,0.0
11,473,3,0.0
