user_id,item_id,rating
0,17,3.0
0,74,4.0
0,78,2.0
0,92,2.0
0,104,4.0
0,127,4.0
0,133,3.0
0,145,2.0
0,198,3.0
0,199,5.0
0,226,1.0
0,265,5.0
0,282,2.0
0,283,2.0
1,1,1.0
1,29,1.0
1,44,1.0
1,104,4.0
1,107,4.0
1,122,2.0
1,128,1.0
1,147,2.0
1,164,2.0
1,186,1.0
1,189,2.0
1,190,1.0
1,196,2.0
1,219,1.0
1,264,2.0
1,275,2.0
2,25,1.0
2,43,1.0
2,70,1.0
2,121,1.0
2,134,1.0
2,173,2.0
2,180,1.0
2,188,2.0
2,210,4.0
2,214,1.0
2,218,5.0
2,243,4.0
2,270,1.0
3,3,3.0
3,81,1.0
3,90,4.0
3,92,3.0
3,149,1.0
3,173,4.0
3,181,1.0
3,185,2.0
3,208,5.0
3,224,3.0
3,230,2.0
3,280,3.0
3,289,2.0
4,11,1.0
4,33,2.0
4,42,3.0
4,57,3.0
4,70,2.0
4,89,1.0
4,98,3.0
4,126,3.0
4,135,3.0
4,173,5.0
4,192,2.0
4,209,3.0
4,284,1.0
5,10,2.0
5,11,1.0
5,57,2.0
5,74,3.0
5,82,2.0
5,90,1.0
5,111,2.0
5,122,2.0
5,144,2.0
5,179,2.0
5,180,3.0
5,218,4.0
5,249,4.0
5,271,3.0
6,55,1.0
6,108,1.0
6,140,1.0
6,147,1.0
6,174,2.0
6,175,3.0
6,179,1.0
6,183,2.0
6,243,2.0
6,247,3.0
6,263,3.0
6,274,1.0
7,2,1.0
7,40,2.0
7,46,1.0
7,66,1.0
7,76,1.0
7,100,1.0
7,122,1.0
7,132,1.0
7,155,3.0
7,168,2.0
7,203,2.0
7,208,2.0
7,214,1.0
8,18,3.0
8,27,1.0
8,31,3.0
8,53,3.0
8,61,1.0
8,95,2.0
8,105,2.0
8,147,3.0
8,163,1.0
8,176,1.0
8,208,3.0
8,240,2.0
8,251,2.0
8,258,1.0
9,45,1.0
9,134,1.0
9,147,1.0
9,157,1.0
9,179,2.0
9,183,3.0
9,192,3.0
9,203,4.0
9,245,4.0
9,252,3.0
9,296,1.0
10,20,1.0
10,116,1.0
10,119,1.0
10,137,1.0
10,141,1.0
10,164,1.0
10,179,1.0
10,193,5.0
10,222,4.0
10,238,3.0
10,246,2.0
10,247,4.0
10,258,3.0
10,285,1.0
11,20,2.0
11,51,3.0
11,62,4.0
11,64,3.0
11,98,4.0
11,103,2.0
11,150,5.0
11,154,3.0
11,167,2.0
11,171,2.0
11,221,4.0
11,271,4.0
11,294,3.0
12,3,2.0
12,14,2.0
12,24,3.0
12,109,1.0
12,120,2.0
12,142,2.0
12,197,3.0
12,211,3.0
12,275,4.0
12,285,3.0
13,36,3.0
13,58,1.0
13,82,4.0
13,114,3.0
13,125,1.0
13,134,4.0
13,139,3.0
13,155,2.0
13,169,2.0
13,171,3.0
13,195,4.0
13,232,3.0
13,251,2.0
13,271,5.0
14,79,3.0
14,90,2.0
14,95,3.0
14,140,1.0
14,149,4.0
14,164,1.0
14,169,2.0
14,203,2.0
14,231,2.0
14,268,2.0
14,276,3.0
14,279,3.0
14,280,2.0
15,93,1.0
15,99,2.0
15,159,3.0
15,160,3.0
15,175,1.0
15,180,1.0
15,203,2.0
15,210,5.0
15,248,1.0
15,249,3.0
15,282,1.0
15,296,1.0
15,299,3.0
16,1,1.0
16,11,1.0
16,14,1.0
16,17,1.0
16,43,1.0
16,85,1.0
16,100,1.0
16,114,3.0
16,151,1.0
16,222,1.0
16,235,1.0
16,251,1.0
16,259,1.0
17,15,1.0
17,23,2.0
17,49,1.0
17,67,2.0
17,81,1.0
17,159,2.0
17,167,1.0
17,171,4.0
17,204,2.0
17,205,3.0
17,209,2.0
17,251,3.0
17,266,3.0
17,290,5.0
18,22,3.0
18,35,3.0
18,43,1.0
18,63,3.0
18,80,3.0
