user_id,item_id,rating,reward,propensities
0.0,169.0,4.0,1.0,0.92005694
0.0,583.0,5.0,1.0,0.5994411
0.0,93.0,1.0,0.0,0.07657304
0.0,152.0,5.0,1.0,0.43667886
0.0,691.0,3.0,0.0,0.18372118
0.0,884.0,5.0,1.0,0.8420819
0.0,914.0,1.0,0.0,0.06034942
0.0,764.0,5.0,1.0,0.3595875
0.0,963.0,5.0,1.0,0.7869705
0.0,978.0,1.0,0.0,0.10511018
0.0,790.0,5.0,1.0,0.36617902
0.0,461.0,1.0,0.0,0.13531876
0.0,491.0,5.0,1.0,0.9180206
0.0,683.0,4.0,1.0,0.61620945
0.0,774.0,1.0,0.0,0.17069523
0.0,319.0,5.0,1.0,0.8580387
0.0,780.0,1.0,0.0,0.38278
0.0,785.0,5.0,1.0,0.5183699
0.0,288.0,1.0,0.0,0.014684614
0.0,707.0,2.0,0.0,0.7539458
0.0,291.0,5.0,1.0,0.85911256
0.0,751.0,5.0,1.0,0.35418695
0.0,183.0,5.0,1.0,0.07113272
0.0,193.0,5.0,1.0,0.72429925
0.0,739.0,3.0,0.0,0.03191556
0.0,493.0,1.0,0.0,0.026811054
1.0,307.0,5.0,1.0,0.038123578
1.0,858.0,5.0,1.0,0.039623823
1.0,515.0,5.0,1.0,0.13892707
1.0,606.0,5.0,1.0,0.6121468
1.0,319.0,5.0,1.0,0.72878516
1.0,169.0,5.0,1.0,0.91149205
1.0,764.0,4.0,1.0,0.08537965
1.0,291.0,5.0,1.0,0.5775062
1.0,995.0,5.0,1.0,0.601173
1.0,503.0,5.0,1.0,0.12882777
1.0,884.0,5.0,1.0,0.5006675
1.0,774.0,4.0,1.0,0.056003336
1.0,691.0,5.0,1.0,0.05454257
1.0,491.0,5.0,1.0,0.804591
1.0,382.0,5.0,1.0,0.4693288
2.0,790.0,2.0,0.0,0.65679306
2.0,884.0,4.0,1.0,0.9480811
2.0,152.0,4.0,1.0,0.86009467
2.0,857.0,3.0,0.0,0.2389474
2.0,506.0,3.0,0.0,0.32864347
2.0,811.0,3.0,0.0,0.4288053
2.0,165.0,3.0,0.0,0.29405442
2.0,389.0,3.0,0.0,0.2455277
2.0,245.0,3.0,0.0,0.17169823
2.0,785.0,4.0,1.0,0.33877075
2.0,404.0,4.0,1.0,0.1760545
2.0,645.0,3.0,0.0,0.7272543
2.0,192.0,3.0,0.0,0.06973568
2.0,562.0,3.0,0.0,0.67561954
2.0,751.0,3.0,0.0,0.30855355
2.0,596.0,4.0,1.0,0.81952965
2.0,303.0,4.0,1.0,0.99357647
2.0,858.0,4.0,1.0,0.3564409
2.0,568.0,3.0,0.0,0.012235131
2.0,755.0,3.0,0.0,0.13725434
2.0,665.0,3.0,0.0,0.020739926
2.0,8.0,2.0,0.0,0.12920716
2.0,543.0,4.0,1.0,0.02672756
2.0,683.0,4.0,1.0,0.9054861
2.0,341.0,3.0,0.0,0.04494198
2.0,995.0,2.0,0.0,0.66129744
2.0,11.0,2.0,0.0,0.6359447
2.0,963.0,3.0,0.0,0.9171444
2.0,169.0,4.0,1.0,0.98982143
2.0,968.0,2.0,0.0,0.58561426
2.0,193.0,4.0,1.0,0.5816287
2.0,394.0,3.0,0.0,0.85781455
2.0,34.0,4.0,1.0,0.8257286
2.0,131.0,3.0,0.0,0.10822866
2.0,120.0,4.0,1.0,0.89216524
2.0,813.0,4.0,1.0,0.8067213
2.0,204.0,2.0,0.0,0.08519919
2.0,794.0,3.0,0.0,0.16371214
2.0,660.0,3.0,0.0,0.041984584
2.0,167.0,3.0,0.0,0.008327493
2.0,491.0,4.0,1.0,0.90107036
2.0,805.0,3.0,0.0,0.07085493
3.0,669.0,1.0,0.0,0.006757287
3.0,544.0,3.0,0.0,0.0070062
3.0,341.0,1.0,0.0,0.036897544
3.0,635.0,1.0,0.0,0.14458616
3.0,978.0,1.0,0.0,0.072849534
3.0,95.0,1.0,0.0,0.21913198
3.0,940.0,1.0,0.0,0.025189226
3.0,995.0,1.0,0.0,0.64185685
4.0,845.0,1.0,0.0,0.011068512
4.0,666.0,5.0,1.0,0.31498855
4.0,70.0,1.0,0.0,0.1004788
4.0,39.0,1.0,0.0,0.5084058
4.0,982.0,2.0,0.0,0.7024422
4.0,382.0,2.0,0.0,0.6679361
4.0,928.0,2.0,0.0,0.13001733
4.0,836.0,2.0,0.0,0.7578774
4.0,618.0,1.0,0.0,0.20596515
4.0,237.0,2.0,0.0,0.16652636
4.0,840.0,2.0,0.0,0.009459513
4.0,459.0,1.0,0.0,0.026869332
4.0,63.0,4.0,1.0,0.343356
4.0,187.0,4.0,1.0,0.036929738
4.0,736.0,5.0,1.0,0.1531271
4.0,95.0,5.0,1.0,0.47559687
4.0,429.0,1.0,0.0,0.071277045
5.0,364.0,5.0,1.0,0.017250713
5.0,55.0,4.0,1.0,0.5984718
5.0,286.0,5.0,1.0,0.055427592
5.0,811.0,1.0,0.0,0.71302235
5.0,319.0,4.0,1.0,0.036960028
5.0,565.0,4.0,1.0,0.008233987
5.0,888.0,5.0,1.0,0.104740754
5.0,234.0,3.0,0.0,0.52314246
5.0,57.0,3.0,0.0,0.04442633
5.0,61.0,5.0,1.0,0.17974935
6.0,254.0,1.0,0.0,0.205747
6.0,969.0,1.0,0.0,0.19390745
6.0,859.0,1.0,0.0,0.17153525
6.0,168.0,1.0,0.0,0.20885693
6.0,598.0,1.0,0.0,0.1726119
6.0,762.0,1.0,0.0,0.13941275
6.0,988.0,1.0,0.0,0.3838239
6.0,28.0,1.0,0.0,0.36426103
