user_id,item_id,rating,propensities
0,72,2.0,0.06744925
0,136,2.0,0.00857391
0,150,3.0,0.2138605
0,171,3.0,0.089931704
0,188,3.0,0.17492451
0,220,3.0,0.13183111
0,227,5.0,0.35549396
0,228,4.0,0.3069376
0,234,3.0,0.23986663
0,235,4.0,0.3200875
0,248,4.0,0.6356007
0,250,2.0,0.5623614
0,251,5.0,0.5415111
0,259,3.0,0.32696572
0,266,4.0,0.15220384
0,269,4.0,0.2414138
0,278,3.0,0.1892422
0,281,3.0,0.18212108
0,298,4.0,0.17420703
1,46,3.0,0.06508164
1,70,1.0,0.029085599
1,84,1.0,0.09746392
1,124,1.0,0.05999005
1,159,1.0,0.28113678
1,174,1.0,0.10911628
1,201,1.0,0.09961276
1,215,1.0,0.17505893
1,217,1.0,0.1106897
1,220,3.0,0.085159235
1,236,2.0,0.110589705
1,247,3.0,0.31647268
1,251,2.0,0.22256404
1,253,1.0,0.39225718
1,262,2.0,0.12178269
1,275,2.0,0.11014124
1,285,1.0,0.14053206
2,138,1.0,0.03783154
2,155,3.0,0.11435451
2,162,2.0,0.119940944
2,164,1.0,0.064786926
2,165,3.0,0.15188606
2,169,5.0,0.046239402
2,185,2.0,0.053482223
2,206,1.0,0.13890767
2,222,1.0,0.08724382
2,228,1.0,0.20890284
2,244,3.0,0.1667694
2,248,2.0,0.47700348
2,252,3.0,0.42614678
2,255,1.0,0.20440768
2,256,2.0,0.22226226
2,265,3.0,0.17705528
2,266,1.0,0.14520243
2,268,2.0,0.23763108
2,272,3.0,0.050938234
2,281,2.0,0.16513084
3,114,4.0,0.029130643
3,153,2.0,0.08359818
3,180,1.0,0.21067631
3,187,2.0,0.1506833
3,201,1.0,0.20865141
3,202,1.0,0.050292037
3,203,3.0,0.08421649
3,222,1.0,0.06920521
3,226,1.0,0.32576364
3,227,4.0,0.27654314
3,249,2.0,0.41090575
3,252,3.0,0.4435845
3,263,3.0,0.21571457
3,268,2.0,0.17340903
3,282,4.0,0.07604013
3,290,5.0,0.25953105
3,293,2.0,0.10316097
3,296,4.0,0.1542145
4,99,2.0,0.10190088
4,102,3.0,0.058656618
4,110,2.0,0.04374373
4,157,4.0,0.17488895
4,169,5.0,0.089733854
4,180,4.0,0.22680792
4,185,5.0,0.057989277
4,222,4.0,0.07589641
4,230,3.0,0.2514248
4,237,3.0,0.34530714
4,240,3.0,0.13475683
4,242,4.0,0.24133815
4,246,5.0,0.19609421
4,247,3.0,0.26519376
4,249,4.0,0.32070425
4,251,2.0,0.36258823
4,252,5.0,0.42287278
4,255,1.0,0.21353105
4,273,4.0,0.20370892
4,274,4.0,0.10475407
4,284,1.0,0.4850997
4,289,3.0,0.1827223
5,65,1.0,0.039165962
5,143,3.0,0.01851461
5,203,2.0,0.13760379
5,226,2.0,0.2710923
5,241,3.0,0.23727106
5,243,4.0,0.26152635
5,246,3.0,0.47318336
5,248,4.0,0.40641165
5,250,1.0,0.41747347
5,251,2.0,0.33335868
5,254,2.0,0.3625861
5,256,3.0,0.22004913
5,257,4.0,0.21092689
5,258,2.0,0.28757557
5,260,3.0,0.18428546
5,293,4.0,0.08600799
5,295,4.0,0.16777317
5,296,2.0,0.14564276
5,297,4.0,0.20035547
6,108,1.0,0.09895129
6,144,2.0,0.06592306
6,175,3.0,0.2442729
6,197,2.0,0.15589543
6,202,1.0,0.16504197
6,222,1.0,0.16315047
6,223,2.0,0.35539004
6,236,4.0,0.28592783
6,237,1.0,0.21767578
6,247,3.0,0.569179
6,248,3.0,0.60585225
6,250,2.0,0.38105097
6,253,2.0,0.5287788
6,256,1.0,0.32551536
6,262,3.0,0.3376397
6,282,1.0,0.16809088
6,289,1.0,0.16653119
6,291,3.0,0.30236945
6,295,4.0,0.18574274
6,298,3.0,0.09846903
7,158,1.0,0.19729553
7,159,3.0,0.1438784
7,166,1.0,0.12782697
7,193,2.0,0.10191453
7,240,1.0,0.0887255
7,242,1.0,0.22732665
7,253,1.0,0.3871097
7,259,1.0,0.16676116
7,261,3.0,0.15384915
7,262,1.0,0.28159323
7,267,4.0,0.26783034
7,268,1.0,0.2064024
7,274,1.0,0.13290544
7,281,2.0,0.14438742
7,283,4.0,0.123714425
7,289,2.0,0.24021424
7,293,1.0,0.0767228
7,298,1.0,0.22438267
8,109,1.0,0.033095684
8,150,1.0,0.20432627
8,166,1.0,0.14166738
8,170,1.0,0.15958233
8,176,1.0,0.14579658
8,201,1.0,0.14036153
8,203,2.0,0.13822483
8,204,3.0,0.094626315
8,215,1.0,0.12687708
8,242,3.0,0.28618857
8,243,4.0,0.24230285
8,247,1.0,0.38661897
8,253,4.0,0.5496113
8,256,2.0,0.28657916
8,257,5.0,0.15081099
9,26,1.0,0.035079304
9,146,1.0,0.05606309
9,172,5.0,0.06497706
9,177,1.0,0.08355824
9,178,1.0,0.23113422
9,192,3.0,0.0939952
9,200,4.0,0.17499636
9,206,5.0,0.22743171
9,209,1.0,0.07390993
9,212,3.0,0.15034182
9,227,5.0,0.2806937
9,235,2.0,0.16023445
9,246,3.0,0.51409405
9,247,2.0,0.53709316
9,248,1.0,0.621052
9,249,4.0,0.28013647
9,251,5.0,0.42171293
9,253,3.0,0.4788366
9,259,4.0,0.28293914
9,290,4.0,0.20466447
10,28,1.0,0.028891742
10,105,1.0,0.13622838
10,147,1.0,0.12287037
10,166,5.0,0.088211715
10,168,1.0,0.18761659
10,170,3.0,0.13237484
10,229,3.0,0.3857752
10,232,1.0,0.26053753
10,242,3.0,0.06529461
10,243,3.0,0.5230709
10,247,4.0,0.5562941
10,249,5.0,0.31507063
10,253,1.0,0.2705294
10,254,1.0,0.6720748
10,262,3.0,0.23107478
10,264,2.0,0.2823778
10,271,1.0,0.24785532
10,274,2.0,0.14049856
10,287,4.0,0.23391914
11,18,4.0,0.013367721
11,66,2.0,0.0068735327
11,76,2.0,0.0039874483
11,77,1.0,0.030323986
11,226,2.0,0.42906427
11,227,4.0,0.4247313
11,229,5.0,0.32655033
11,230,4.0,0.17350265
11,231,3.0,0.20231439
11,241,4.0,0.16961053
11,244,5.0,0.21740712
11,247,4.0,0.5709277
11,248,2.0,0.58086866
11,249,4.0,0.31107724
11,250,3.0,0.65090483
11,251,4.0,0.40877387
11,253,3.0,0.52114713
11,256,3.0,0.14658837
11,259,2.0,0.43047535
12,40,3.0,0.043674607
12,119,3.0,0.030828502
12,150,2.0,0.19418807
12,159,2.0,0.10527205
12,161,3.0,0.13831145
12,167,1.0,0.243349
12,212,3.0,0.10101824
12,224,3.0,0.41853115
12,226,1.0,0.30436346
12,239,3.0,0.267584
12,248,4.0,0.33147943
12,252,4.0,0.338403
12,259,2.0,0.14337796
12,279,4.0,0.25345197
12,290,2.0,0.21429083
12,297,1.0,0.19372842
13,1,3.0,0.14037272
13,5,1.0,0.062497437
13,7,3.0,0.07480535
13,17,3.0,0.08827534
13,30,3.0,0.11581313
13,31,3.0,0.04856757
13,39,1.0,0.10944403
13,40,2.0,0.1449714
13,51,2.0,0.07199051
13,101,3.0,0.1824361
13,103,4.0,0.07684601
13,138,5.0,0.07776677
13,150,1.0,0.0932979
13,157,1.0,0.115804635
13,159,3.0,0.09519005
13,166,5.0,0.09063068
13,169,2.0,0.08126577
